Year,Type,Total,,,
2003,Family Problems,331,,,
2005,Other Prolonged Illness,331,,,
2012,Other Prolonged Illness,330,,,
2011,Other Causes (Please Specity),330,,,
2009,Family Problems,329,,,
2003,Other Prolonged Illness,328,,,
2004,Other Causes (Please Specity),328,,,
2006,Bankruptcy,328,,,
2009,Family Problems,328,,,
2002,Other Causes (Please Specity),328,,,
2004,Other Causes (Please Specity),327,,,
2002,Other Causes (Please Specity),327,,,
2002,Family Problems,326,,,
2002,Other Prolonged Illness,326,,,
2003,Causes Not known,326,,,
2010,Family Problems,326,,,
2003,Other Prolonged Illness,326,,,
2004,Other Prolonged Illness,326,,,
2002,Family Problems,325,,,
2010,Family Problems,325,,,
2005,Insanity/Mental Illness,325,,,
2007,Bankruptcy,324,,,
2011,Family Problems,324,,,
2011,Other Causes (Please Specity),324,,,
2011,Other Causes (Please Specity),324,,,
2003,Causes Not known,323,,,
2006,Insanity/Mental Illness,323,,,
2009,Dowry Dispute,323,,,
2010,Other Prolonged Illness,322,,,
2011,Family Problems,322,,,
2009,Family Problems,321,,,
2009,Bankruptcy,321,,,
2011,Family Problems,321,,,
2002,Other Causes (Please Specity),321,,,
2004,Love Affairs,320,,,
2011,Dowry Dispute,320,,,
2002,Other Causes (Please Specity),319,,,
2012,Other Prolonged Illness,319,,,
2003,Causes Not known,319,,,
2007,Other Prolonged Illness,319,,,
2008,Family Problems,319,,,
2008,Family Problems,319,,,
2008,Family Problems,319,,,
2005,Other Causes (Please Specity),319,,,
2003,Other Causes (Please Specity),319,,,
2009,Insanity/Mental Illness,319,,,
2011,Other Prolonged Illness,318,,,
2010,Other Causes (Please Specity),318,,,
2004,Causes Not known,317,,,
2004,Family Problems,317,,,
2008,Family Problems,317,,,
2004,Bankruptcy,317,,,
2012,Other Causes (Please Specity),317,,,
2004,Other Causes (Please Specity),317,,,
2003,Other Causes (Please Specity),316,,,
2010,Family Problems,316,,,
2002,Drug Abuse/Addiction,316,,,
2002,Other Prolonged Illness,316,,,
2006,Other Causes (Please Specity),316,,,
2011,Dowry Dispute,316,,,
2003,Causes Not known,315,,,
2011,Other Prolonged Illness,315,,,
2003,Bankruptcy,315,,,
2011,Other Prolonged Illness,315,,,
2010,Other Prolonged Illness,315,,,
2010,Causes Not known,314,,,
2004,Insanity/Mental Illness,314,,,
2005,Insanity/Mental Illness,314,,,
2009,Drug Abuse/Addiction,314,,,
2006,Other Prolonged Illness,313,,,
2006,Family Problems,312,,,
2004,Family Problems,312,,,
2005,Causes Not known,312,,,
2010,Other Causes (Please Specity),312,,,
2005,Other Causes (Please Specity),311,,,
2012,Other Causes (Please Specity),311,,,
2006,Insanity/Mental Illness,311,,,
2010,Insanity/Mental Illness,311,,,
2009,Other Causes (Please Specity),311,,,
2007,Other Prolonged Illness,310,,,
2012,Causes Not known,310,,,
2010,Family Problems,310,,,
2004,Other Causes (Please Specity),310,,,
2002,Causes Not known,310,,,
2003,Other Prolonged Illness,310,,,
2006,Failure in Examination,310,,,
2007,Family Problems,309,,,
2002,Family Problems,309,,,
2008,Family Problems,309,,,
2002,Insanity/Mental Illness,309,,,
2010,Other Prolonged Illness,309,,,
2010,Other Causes (Please Specity),309,,,
2010,Other Causes (Please Specity),308,,,
2011,Family Problems,308,,,
2005,Other Causes (Please Specity),308,,,
2003,Family Problems,307,,,
2009,Family Problems,307,,,
2004,Dowry Dispute,307,,,
2007,Other Causes (Please Specity),307,,,
2011,Causes Not known,306,,,
2010,Other Prolonged Illness,306,,,
2007,Insanity/Mental Illness,306,,,
2003,Other Causes (Please Specity),306,,,
2002,Other Causes (Please Specity),305,,,
2004,Other Prolonged Illness,305,,,
2005,Insanity/Mental Illness,305,,,
2012,Causes Not known,305,,,
2003,Insanity/Mental Illness,305,,,
2002,Other Causes (Please Specity),305,,,
2011,Other Prolonged Illness,305,,,
2010,Bankruptcy,304,,,
2011,Other Causes (Please Specity),304,,,
2004,Bankruptcy,304,,,
2009,Family Problems,304,,,
2003,Other Prolonged Illness,304,,,
2005,Poverty,303,,,
2003,Family Problems,302,,,
2007,Causes Not known,302,,,
2004,Insanity/Mental Illness,302,,,
2007,Family Problems,302,,,
2008,Family Problems,302,,,
2002,Causes Not known,302,,,
2005,Dowry Dispute,302,,,
2007,Other Causes (Please Specity),301,,,
2007,Family Problems,301,,,
2008,Insanity/Mental Illness,301,,,
2005,Family Problems,301,,,
2005,Other Prolonged Illness,300,,,
2005,Causes Not known,300,,,
2009,Other Prolonged Illness,300,,,
2007,Causes Not known,300,,,
2007,Other Causes (Please Specity),300,,,
2008,Causes Not known,300,,,
2008,Other Causes (Please Specity),300,,,
2004,Family Problems,299,,,
2005,Poverty,299,,,
2007,Other Causes (Please Specity),299,,,
2005,Causes Not known,299,,,
2003,Other Causes (Please Specity),299,,,
2006,Dowry Dispute,299,,,
2010,Dowry Dispute,299,,,
2005,Family Problems,298,,,
2002,Family Problems,298,,,
2005,Other Causes (Please Specity),298,,,
2010,Other Prolonged Illness,298,,,
2009,Other Causes (Please Specity),297,,,
2009,Family Problems,297,,,
2010,Causes Not known,297,,,
2005,Other Causes (Please Specity),297,,,
2008,Love Affairs,297,,,
2003,Other Prolonged Illness,296,,,
2008,Family Problems,296,,,
2002,Causes Not known,296,,,
2007,Other Causes (Please Specity),296,,,
2009,Family Problems,296,,,
2004,Insanity/Mental Illness,296,,,
2010,Other Prolonged Illness,296,,,
2004,Other Prolonged Illness,296,,,
2004,Other Causes (Please Specity),296,,,
2002,Family Problems,295,,,
2009,Causes Not known,295,,,
2005,Other Prolonged Illness,295,,,
2002,Causes Not known,295,,,
2007,Family Problems,295,,,
2008,Other Prolonged Illness,295,,,
2008,Causes Not known,295,,,
2008,Love Affairs,295,,,
2007,Causes Not known,294,,,
2007,Causes Not known,294,,,
2007,Other Causes (Please Specity),294,,,
2002,Other Prolonged Illness,294,,,
2003,Other Prolonged Illness,294,,,
2003,Causes Not known,294,,,
2009,Love Affairs,294,,,
2003,Family Problems,293,,,
2011,Family Problems,293,,,
2003,Causes Not known,293,,,
2008,Insanity/Mental Illness,293,,,
2007,Insanity/Mental Illness,293,,,
2006,Family Problems,293,,,
2008,Family Problems,293,,,
2009,Other Prolonged Illness,292,,,
2009,Causes Not known,292,,,
2012,Insanity/Mental Illness,292,,,
2007,Family Problems,292,,,
2002,Other Prolonged Illness,292,,,
2006,Other Causes (Please Specity),292,,,
2006,Other Causes (Please Specity),291,,,
2002,Family Problems,291,,,
2007,Causes Not known,291,,,
2002,Family Problems,291,,,
2005,Insanity/Mental Illness,291,,,
2009,Insanity/Mental Illness,291,,,
2009,Family Problems,290,,,
2002,Other Causes (Please Specity),290,,,
2008,Family Problems,290,,,
2010,Insanity/Mental Illness,290,,,
2009,Other Causes (Please Specity),290,,,
2007,Bankruptcy,290,,,
2011,Love Affairs,290,,,
2009,Causes Not known,289,,,
2011,Other Causes (Please Specity),289,,,
2004,Causes Not known,289,,,
2009,Other Causes (Please Specity),289,,,
2009,Other Prolonged Illness,289,,,
2011,Family Problems,288,,,
2008,Insanity/Mental Illness,288,,,
2003,Family Problems,288,,,
2008,Dowry Dispute,288,,,
2010,Poverty,287,,,
2012,Family Problems,287,,,
2009,Other Causes (Please Specity),287,,,
2011,Other Causes (Please Specity),287,,,
2008,Insanity/Mental Illness,287,,,
2007,Family Problems,286,,,
2012,Family Problems,286,,,
2008,Causes Not known,286,,,
2005,Love Affairs,286,,,
2012,Family Problems,285,,,
2009,Other Causes (Please Specity),285,,,
2011,Other Prolonged Illness,285,,,
2002,Causes Not known,285,,,
2010,Other Prolonged Illness,285,,,
2012,Dowry Dispute,285,,,
2008,Insanity/Mental Illness,285,,,
2010,Family Problems,284,,,
2011,Poverty,284,,,
2010,Family Problems,284,,,
2011,Causes Not known,284,,,
2010,Other Causes (Please Specity),284,,,
2007,Causes Not known,284,,,
2003,Insanity/Mental Illness,284,,,
2010,Insanity/Mental Illness,284,,,
2008,Causes Not known,284,,,
2004,Other Causes (Please Specity),284,,,
2007,Dowry Dispute,284,,,
2005,Family Problems,283,,,
2009,Family Problems,283,,,
2008,Insanity/Mental Illness,283,,,
2005,Family Problems,283,,,
2010,Other Causes (Please Specity),283,,,
2002,Family Problems,283,,,
2006,Property Dispute,283,,,
2009,Other Causes (Please Specity),283,,,
2010,Insanity/Mental Illness,283,,,
2009,Family Problems,282,,,
2007,Drug Abuse/Addiction,282,,,
2011,Other Causes (Please Specity),282,,,
2012,Other Causes (Please Specity),282,,,
2006,Causes Not known,281,,,
2012,Other Causes (Please Specity),281,,,
2002,Family Problems,281,,,
2002,Causes Not known,281,,,
2006,Causes Not known,281,,,
2011,Family Problems,281,,,
2007,Other Prolonged Illness,281,,,
2009,Other Prolonged Illness,281,,,
2005,Causes Not known,281,,,
2009,Love Affairs,281,,,
2011,Causes Not known,280,,,
2012,Causes Not known,280,,,
2003,Other Causes (Please Specity),280,,,
2011,Other Prolonged Illness,280,,,
2011,Family Problems,280,,,
2003,Other Causes (Please Specity),279,,,
2010,Causes Not known,279,,,
2011,Other Causes (Please Specity),279,,,
2004,Causes Not known,279,,,
2011,Causes Not known,279,,,
2007,Other Causes (Please Specity),278,,,
2004,Dowry Dispute,278,,,
2007,Love Affairs,278,,,
2012,Poverty,277,,,
2012,Family Problems,277,,,
2007,Other Prolonged Illness,277,,,
2010,Family Problems,277,,,
2003,Other Prolonged Illness,276,,,
2010,Other Causes (Please Specity),276,,,
2008,Causes Not known,276,,,
2005,Family Problems,276,,,
2008,Other Prolonged Illness,276,,,
2011,Family Problems,276,,,
2012,Other Prolonged Illness,276,,,
2010,Family Problems,276,,,
2006,Family Problems,275,,,
2007,Poverty,275,,,
2008,Causes Not known,275,,,
2009,Other Causes (Please Specity),275,,,
2004,Insanity/Mental Illness,275,,,
2003,Other Causes (Please Specity),275,,,
2009,Family Problems,275,,,
2006,Insanity/Mental Illness,275,,,
2008,Insanity/Mental Illness,275,,,
2007,Causes Not known,274,,,
2007,Causes Not known,274,,,
2009,Other Prolonged Illness,274,,,
2004,Causes Not known,274,,,
2006,Family Problems,274,,,
2007,Family Problems,274,,,
2006,Insanity/Mental Illness,274,,,
2004,Family Problems,274,,,
2003,Other Causes (Please Specity),273,,,
2012,Other Prolonged Illness,273,,,
2012,Other Causes (Please Specity),273,,,
2012,Family Problems,273,,,
2010,Love Affairs,273,,,
2008,Other Causes (Please Specity),272,,,
2012,Other Causes (Please Specity),272,,,
2003,Insanity/Mental Illness,272,,,
2009,Family Problems,272,,,
2008,Love Affairs,272,,,
2008,Bankruptcy,271,,,
2004,Causes Not known,271,,,
2007,Other Causes (Please Specity),271,,,
2008,Family Problems,271,,,
2010,Other Prolonged Illness,271,,,
2006,Family Problems,271,,,
2004,Drug Abuse/Addiction,271,,,
2011,Bankruptcy,271,,,
2007,Insanity/Mental Illness,271,,,
2005,Other Causes (Please Specity),270,,,
2011,Family Problems,270,,,
2005,Other Causes (Please Specity),270,,,
2010,Other Causes (Please Specity),270,,,
2005,Causes Not known,270,,,
2006,Love Affairs,270,,,
2003,Other Prolonged Illness,269,,,
2010,Causes Not known,269,,,
2005,Family Problems,269,,,
2004,Dowry Dispute,269,,,
2006,Drug Abuse/Addiction,269,,,
2010,Love Affairs,269,,,
2008,Causes Not known,268,,,
2009,Causes Not known,268,,,
2012,Family Problems,268,,,
2004,Love Affairs,268,,,
2011,Causes Not known,267,,,
2008,Causes Not known,267,,,
2012,Causes Not known,267,,,
2004,Other Causes (Please Specity),267,,,
2002,Other Prolonged Illness,267,,,
2011,Insanity/Mental Illness,267,,,
2012,Insanity/Mental Illness,267,,,
2005,Other Causes (Please Specity),267,,,
2007,Family Problems,267,,,
2003,Family Problems,267,,,
2011,Family Problems,267,,,
2005,Family Problems,267,,,
2007,Other Causes (Please Specity),267,,,
2004,Other Prolonged Illness,266,,,
2010,Family Problems,266,,,
2007,Dowry Dispute,266,,,
2008,Family Problems,266,,,
2004,Other Causes (Please Specity),265,,,
2006,Causes Not known,265,,,
2005,Other Prolonged Illness,265,,,
2007,Family Problems,265,,,
2007,Family Problems,265,,,
2003,Family Problems,265,,,
2005,Other Prolonged Illness,265,,,
2011,Insanity/Mental Illness,265,,,
2003,Other Causes (Please Specity),265,,,
2004,Family Problems,265,,,
2007,Family Problems,265,,,
2010,Family Problems,265,,,
2008,Family Problems,264,,,
2003,Other Prolonged Illness,264,,,
2005,Other Causes (Please Specity),264,,,
2008,Family Problems,264,,,
2011,Insanity/Mental Illness,264,,,
2012,Other Prolonged Illness,264,,,
2007,Causes Not known,264,,,
2008,Causes Not known,264,,,
2009,Other Causes (Please Specity),264,,,
2010,Other Causes (Please Specity),263,,,
2010,Other Prolonged Illness,263,,,
2003,Family Problems,263,,,
2005,Failure in Examination,263,,,
2010,Causes Not known,262,,,
2006,Family Problems,262,,,
2009,Other Causes (Please Specity),262,,,
2012,Family Problems,262,,,
2009,Insanity/Mental Illness,262,,,
2010,Other Causes (Please Specity),262,,,
2006,Causes Not known,261,,,
2011,Causes Not known,261,,,
2007,Family Problems,261,,,
2002,Other Causes (Please Specity),261,,,
2006,Family Problems,261,,,
2005,Causes Not known,261,,,
2005,Other Causes (Please Specity),261,,,
2010,Other Causes (Please Specity),260,,,
2003,Causes Not known,260,,,
2010,Causes Not known,260,,,
2010,Other Causes (Please Specity),260,,,
2005,Causes Not known,260,,,
2011,Family Problems,260,,,
2006,Other Prolonged Illness,260,,,
2005,Other Causes (Please Specity),260,,,
2003,Causes Not known,259,,,
2009,Other Prolonged Illness,259,,,
2002,Family Problems,259,,,
2012,Drug Abuse/Addiction,259,,,
2012,Family Problems,259,,,
2012,Family Problems,259,,,
2006,Causes Not known,259,,,
2006,Other Causes (Please Specity),259,,,
2011,Insanity/Mental Illness,259,,,
2011,Insanity/Mental Illness,259,,,
2009,Other Causes (Please Specity),258,,,
2010,Family Problems,258,,,
2003,Other Causes (Please Specity),258,,,
2012,Family Problems,258,,,
2007,Causes Not known,257,,,
2004,Family Problems,257,,,
2006,Family Problems,257,,,
2006,Family Problems,257,,,
2009,Drug Abuse/Addiction,257,,,
2003,Causes Not known,257,,,
2005,Other Causes (Please Specity),257,,,
2011,Family Problems,257,,,
2004,Causes Not known,256,,,
2009,Causes Not known,256,,,
2003,Family Problems,256,,,
2002,Causes Not known,256,,,
2004,Family Problems,256,,,
2006,Family Problems,256,,,
2009,Other Causes (Please Specity),256,,,
2008,Causes Not known,256,,,
2009,Causes Not known,256,,,
2009,Insanity/Mental Illness,256,,,
2012,Other Causes (Please Specity),255,,,
2008,Causes Not known,255,,,
2010,Other Prolonged Illness,255,,,
2012,Family Problems,255,,,
2008,Dowry Dispute,255,,,
2009,Family Problems,254,,,
2012,Causes Not known,254,,,
2002,Insanity/Mental Illness,254,,,
2005,Dowry Dispute,254,,,
2009,Other Prolonged Illness,254,,,
2011,Family Problems,254,,,
2011,Other Causes (Please Specity),253,,,
2008,Other Causes (Please Specity),253,,,
2009,Other Prolonged Illness,253,,,
2008,Drug Abuse/Addiction,253,,,
2006,Causes Not known,253,,,
2005,Family Problems,253,,,
2011,Other Prolonged Illness,253,,,
2012,Family Problems,253,,,
2006,Bankruptcy,252,,,
2006,Causes Not known,252,,,
2002,Other Prolonged Illness,252,,,
2003,Dowry Dispute,252,,,
2005,Drug Abuse/Addiction,252,,,
2008,Drug Abuse/Addiction,252,,,
2010,Bankruptcy,252,,,
2011,Unemployment,252,,,
2006,Causes Not known,251,,,
2007,Family Problems,251,,,
2002,Causes Not known,251,,,
2003,Other Causes (Please Specity),251,,,
2010,Other Prolonged Illness,250,,,
2004,Family Problems,250,,,
2005,Causes Not known,250,,,
2007,Causes Not known,250,,,
2008,Causes Not known,250,,,
2012,Other Prolonged Illness,250,,,
2009,Insanity/Mental Illness,250,,,
2002,Causes Not known,249,,,
2003,Poverty,249,,,
2010,Other Causes (Please Specity),249,,,
2002,Other Causes (Please Specity),249,,,
2009,Other Prolonged Illness,249,,,
2006,Dowry Dispute,249,,,
2007,Other Causes (Please Specity),249,,,
2009,Other Prolonged Illness,248,,,
2012,Insanity/Mental Illness,248,,,
2011,Causes Not known,248,,,
2012,Causes Not known,248,,,
2011,Insanity/Mental Illness,248,,,
2004,Other Causes (Please Specity),248,,,
2003,Causes Not known,248,,,
2003,Insanity/Mental Illness,247,,,
2006,Other Causes (Please Specity),247,,,
2008,Causes Not known,247,,,
2002,Causes Not known,247,,,
2009,Insanity/Mental Illness,247,,,
2003,Other Causes (Please Specity),246,,,
2006,Family Problems,246,,,
2010,Insanity/Mental Illness,246,,,
2002,Dowry Dispute,246,,,
2009,Other Prolonged Illness,246,,,
2012,Causes Not known,246,,,
2005,Other Prolonged Illness,246,,,
2006,Other Causes (Please Specity),245,,,
2011,Causes Not known,245,,,
2005,Bankruptcy,245,,,
2012,Family Problems,245,,,
2012,Other Causes (Please Specity),245,,,
2009,Family Problems,245,,,
2011,Family Problems,245,,,
2007,Causes Not known,244,,,
2012,Causes Not known,244,,,
2005,Other Prolonged Illness,244,,,
2002,Causes Not known,244,,,
2011,Family Problems,244,,,
2004,Other Prolonged Illness,244,,,
2003,Failure in Examination,244,,,
2006,Causes Not known,244,,,
2002,Causes Not known,243,,,
2003,Other Prolonged Illness,243,,,
2005,Family Problems,243,,,
2007,Family Problems,243,,,
2006,Family Problems,243,,,
2008,Other Prolonged Illness,243,,,
2009,Causes Not known,243,,,
2004,Failure in Examination,243,,,
2009,Causes Not known,242,,,
2004,Other Causes (Please Specity),242,,,
2011,Other Prolonged Illness,242,,,
2012,Causes Not known,242,,,
2011,Other Prolonged Illness,242,,,
2012,Causes Not known,242,,,
2010,Family Problems,242,,,
2007,Insanity/Mental Illness,241,,,
2007,Other Causes (Please Specity),241,,,
2011,Causes Not known,241,,,
2010,Love Affairs,241,,,
2009,Causes Not known,241,,,
2003,Other Causes (Please Specity),241,,,
2002,Causes Not known,240,,,
2010,Family Problems,240,,,
2011,Bankruptcy,240,,,
2007,Causes Not known,240,,,
2008,Causes Not known,240,,,
2007,Unemployment,240,,,
2003,Dowry Dispute,239,,,
2006,Other Causes (Please Specity),239,,,
2008,Insanity/Mental Illness,239,,,
2009,Causes Not known,239,,,
2006,Causes Not known,239,,,
2003,Family Problems,239,,,
2008,Other Prolonged Illness,239,,,
2012,Family Problems,239,,,
2004,Unemployment,239,,,
2006,Causes Not known,239,,,
2012,Other Causes (Please Specity),239,,,
2003,Causes Not known,239,,,
2008,Poverty,238,,,
